component_type,vendor,category,model,capacity_gb,vram_gb,source_count,sources,min_price_eur,median_price_eur,max_price_eur,latest_observed_at
gpu,nvidia,RTX 5080,16 GB GDDR7 - Doble HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5080),,,1,LDLC España,911,911,911,2026-08-15
gpu,nvidia,RTX 5060 TI,16 GB GDDR7 - HDMI/Tri DisplayPort - DLSS 4 - PCI Express (NVIDIA GeForce RTX 5060 Ti),,,1,LDLC España,679,679,679,2026-08-15
ram,memory,DDR5,Memoria DDR5 Kingston Fury Beast 64GB 2x32GB 6000MHz CL30 EXPO-XMP,64,,1,Coolmod,95,95,95,2026-08-15
cpu,amd,Ryzen 5,Procesador - AMD Ryzen 5 5600GT,,,1,MediaMarkt España,167,167,167,2026-08-15
ram,memory,DDR4,Kingston SO-DIMM 8GB DDR4 3200 MHz CL22 1RX8,8,,1,LDLC España,95,95,95,2026-08-15
ram,memory,DDR4,Textorm SO-DIMM 8 GB DDR4 3200 MHz CL22,8,,1,LDLC España,76,76,76,2026-08-15
ram,memory,DDR5,Kingston FURY Beast 8GB DDR5 5600 MHz CL40,8,,1,LDLC España,127,127,127,2026-08-15
ram,memory,DDR4,Textorm SO-DIMM 8 GB DDR4 2666 MHz CL19,8,,1,LDLC España,81,81,81,2026-08-15
ram,memory,DDR5,Kingston FURY Beast 8GB DDR5 5200 MHz CL40,8,,1,LDLC España,119,119,119,2026-08-15
ram,memory,DDR4,G.Skill Aegis 8 GB (1 x 8 GB) DDR4 3200 MHz CL16,8,,1,LDLC España,65,65,65,2026-08-15
ram,memory,DDR5,Corsair Vengeance DDR5 8 GB (1 x 8 GB) 5200 MHz CL40 - Negro,8,,1,LDLC España,138,138,138,2026-08-15
ram,memory,DDR4,G.Skill RipJaws 4 Series 8 GB DDR4 2400 MHz CL17,8,,1,LDLC España,70,70,70,2026-08-15
ram,memory,DDR5,Corsair Vengeance RGB DDR5 8 GB (1 x 8 GB) 5200 MHz CL40 - Negro,8,,1,LDLC España,153,153,153,2026-08-15
ram,memory,DDR4,G.Skill Aegis 8 GB (1 x 8 GB) DDR4 2666 MHz CL19,8,,1,LDLC España,71,71,71,2026-08-15
ram,memory,DDR4,G.Skill RipJaws Series SO-DIMM 8 GB DDR4 3200 MHz CL22,8,,1,LDLC España,72,72,72,2026-08-15
ram,memory,DDR4,Kingston ValueRAM SO-DIMM 8GB DDR4 3200 MHz CL22 1Rx8,8,,1,LDLC España,134,134,134,2026-08-15
ram,memory,DDR5,Kingston ValueRAM 8GB DDR5 5600MHz CL46 1Rx16,8,,1,LDLC España,124,124,124,2026-08-15
ram,memory,DDR4,Kingsman Gaming DDR4 Innovator 16 GB 3200 MHz CL22 - Negro,16,,1,LDLC España,148,148,148,2026-08-15
ram,memory,DDR4,Corsair Vengeance SO-DIMM DDR4 16 GB 3200 MHz CL22,16,,1,LDLC España,153,153,153,2026-08-15
ram,memory,DDR4,G.Skill Aegis 16 GB (1 x 16 GB) DDR4 3200 MHz CL16,16,,1,LDLC España,130,130,130,2026-08-15
ram,memory,DDR4,Kingston ValueRAM SO-DIMM 16GB DDR4 3200 MHz CL22 2Rx8,16,,1,LDLC España,172,172,172,2026-08-15
ram,memory,DDR4,Kingston FURY Impact SO-DIMM 16 GB DDR4 3200 MHz CL20,16,,1,LDLC España,172,172,172,2026-08-15
ram,memory,DDR4,Textorm 16 GB DDR4 3200 MHz CL16,16,,1,LDLC España,143,143,143,2026-08-15
ram,memory,DDR5,G.Skill Trident Z5 CK RGB 48 GB (2 x 24 GB) DDR5 8800 MHz CL42 - Negro,48,,1,LDLC España,574,574,574,2026-08-15
ram,memory,DDR5,G.Skill Trident Z5 CK 48 GB (2 x 24 GB) DDR5 8800 MHz CL42 - Negro,48,,1,LDLC España,504,504,504,2026-08-15
ram,memory,DDR5,G.Skill Trident Z5 Royal 48 GB (2 x 24 GB) DDR5 8400 MHz CL40 - Plata,48,,1,LDLC España,426,426,426,2026-08-15
ram,memory,DDR5,G.Skill Trident Z5 RGB 48GB (2 x 24GB) DDR5 6400 MHz CL30 - Negro,48,,1,LDLC España,231,231,231,2026-08-15
ram,memory,DDR5,G.Skill Trident Z5 RGB 48GB (2 x 24GB) DDR5 6800 MHz CL32 - Negro,48,,1,LDLC España,180,180,180,2026-08-15
ram,memory,DDR5,G.Skill Ripjaws M5 RGB 64 GB (2 x 32 GB) DDR5 6800 MHz CL34 - Blanco,64,,1,LDLC España,199,199,199,2026-08-15
ram,memory,DDR5,G.Skill Ripjaws M5 RGB 64 GB (2 x 32 GB) DDR5 6800 MHz CL34 - Negro,64,,1,LDLC España,199,199,199,2026-08-15
ram,memory,DDR5,G.Skill Trident Z5 Royal 48 GB (2 x 24 GB) DDR5 8000 MHz CL38 - Plata,48,,1,LDLC España,343,343,343,2026-08-15
ram,memory,DDR5,G.Skill Trident Z5 Royal 64 GB (2 x 32 GB) DDR5 6800 MHz CL34 - Plata,64,,1,LDLC España,199,199,199,2026-08-15
ram,memory,DDR5,G.Skill Trident Z5 RGB 48GB (2 x 24GB) DDR5 8000 MHz CL38 - Blanco,48,,1,LDLC España,289,289,289,2026-08-15
ram,memory,DDR5,G.Skill Trident Z5 Royal Neo 48 GB (2 x 24 GB) DDR5 8000 MHz CL40 - Plata,48,,1,LDLC España,261,261,261,2026-08-15
ram,memory,DDR5,Modelo: Corsair Vengeance DDR5 48 GB (2 x 24 GB) 6000 MHz CL36 - Negro,48,,1,LDLC España,340,340,340,2026-08-15
ram,memory,DDR5,G.Skill Ripjaws M5 RGB 48 GB (2 x 24 GB) DDR5 6000 MHz CL30 - Blanco,48,,1,LDLC España,230,230,230,2026-08-15
ram,memory,DDR4,Kingston FURY Beast 128GB (4 x 32GB) DDR4 3200 MHz CL16,128,,1,LDLC España,257,257,257,2026-08-15
