component_type,vendor,category,model,capacity_gb,vram_gb,source_count,sources,min_price_eur,median_price_eur,max_price_eur,latest_observed_at
ram,memory,DDR4,Memoria RAM - MICRON MTA16ATF4G64HZ-3G2,32,,1,MediaMarkt España,169,169,169,2026-08-15
ram,memory,DDR5,Memoria RAM - SAMSUNG M425R2GA3BB0-CWMOD,16,,1,MediaMarkt España,189,189,189,2026-08-15
ram,memory,DDR5,Memorias ram - CRUCIAL SODIMM DDR5 CT16G56C46S5,16,,1,MediaMarkt España,255,255,255,2026-08-15
ram,memory,DDR4,Memoria RAM - DELL SNPTN78YC/32G,32,,1,MediaMarkt España,249,249,249,2026-08-15
ram,memory,DDR4,Memoria RAM - KINGSTON TECHNOLOGY KTL-TS432E/32G,32,,1,MediaMarkt España,249,249,249,2026-08-15
ram,memory,DDR4,Memoria RAM - AFOX DDR4 1 x 4GB 3200MHz UDIMM PC AFLD44PK1P,4,,1,MediaMarkt España,34,34,34,2026-08-15
ram,memory,DDR4,Memorias RAM - SILICON POWER ddr4 32gb 2x 16gb silicon power udimm 3200mhz,32,,1,MediaMarkt España,314,314,314,2026-08-15
gpu,nvidia,RTX 3050,"Tarjeta gráfica - GIGABYTE GeForce RTX 3050 WINDFORCE OC V2 6G, GDDR6, PCI Express 4.0",,,1,MediaMarkt España,335,335,335,2026-08-15
gpu,nvidia,RTX 3050,"Tarjeta gráfica - MSI GeForce RTX 3050 LP E 6G OC, GDDR6, PCI Express 4.0 x8",,,1,MediaMarkt España,359,359,359,2026-08-15
gpu,nvidia,RTX 5080,"Tarjeta gráfica - ASUS TUF Gaming GeForce RTX 5080 16GB GDDR7 OC Edition, GDDR7, PCI Express x16 4.0",,,1,MediaMarkt España,2253,2253,2253,2026-08-15
gpu,nvidia,RTX 5060TI,"Tarjeta gráfica - ZOTAC TARJETA GRÁFICA ZOTAC RTX 5060TI 16GB TWIN EDGE OC GDDR7, GDDR7, PCI Express x8 5.0",,,1,MediaMarkt España,849,849,849,2026-08-15
gpu,nvidia,RTX 3070,"Tarjeta gráfica - GIGABYTE GeForce RTX 3070 VISION OC 8G (rev. 2.0), GDDR6, HDMI",,,1,MediaMarkt España,1382,1382,1382,2026-08-15
ram,memory,DDR5,Kingston FURY Beast 16GB (2 x 8GB) DDR5 6000 MHz CL30,16,,1,LDLC España,287,287,287,2026-08-15
ram,memory,DDR5,Kingston FURY Beast 32GB (2 x 16GB) DDR5 6000 MHz CL30,32,,1,LDLC España,604,604,604,2026-08-15
ram,memory,DDR4,Textorm 8 GB DDR4 3200 MHz CL16,8,,1,LDLC España,76,76,76,2026-08-15
ram,memory,DDR4,Textorm 16 GB (2x 8 GB) DDR4 3200 MHz CL16,16,,1,LDLC España,162,162,162,2026-08-15
ram,memory,DDR4,Kingston FURY Beast 32GB (2 x 16GB) DDR4 3200 MHz CL16,32,,1,LDLC España,412,412,412,2026-08-15
ram,memory,DDR5,Kingston FURY Beast 16 GB (2 x 8 GB) DDR5 5600 MHz CL36,16,,1,LDLC España,287,287,287,2026-08-15
ram,memory,DDR4,Kingston FURY Beast 16 GB (2 x 8 GB) DDR4 3200 MHz CL16,16,,1,LDLC España,172,172,172,2026-08-15
ram,memory,DDR5,G.Skill Flare X5 Series 32 GB (2x 16 GB) DDR5 6000 MHz CL36,32,,1,LDLC España,568,568,568,2026-08-15
ram,memory,DDR5,Kingston FURY Beast RGB 16GB (2 x 8GB) DDR5 6000 MHz CL30,16,,1,LDLC España,316,316,316,2026-08-15
ram,memory,DDR4,Kingston FURY Beast RGB 32 GB (2 x 16 GB) DDR4 3600 MHz CL18,32,,1,LDLC España,575,575,575,2026-08-15
ram,memory,DDR5,Kingston FURY Beast RGB 32GB (2 x 16GB) DDR5 6000 MHz CL30,32,,1,LDLC España,566,566,566,2026-08-15
