model_id,model_name,source_type,url,retrieved_at,claim,source_record_id,evidence_status
Modular Cognitive Architecture Emerges in Large Language Models,Modular Cognitive Architecture Emerges in Large Language Models,hugging_face,https://huggingface.co/papers/2608.13567,,,,reported
LittleLearner: Language Models Under Pedagogically Controlled Knowledge Exposure,LittleLearner: Language Models Under Pedagogically Controlled Knowledge Exposure,hugging_face,https://huggingface.co/papers/2608.13545,,,,reported
Second Thought: Reasoning in Parallel as LLM Agents Act and Observe,Second Thought: Reasoning in Parallel as LLM Agents Act and Observe,hugging_face,https://huggingface.co/papers/2608.13667,,,,reported
Multimodal Model Diffing for Feature Discovery and Control,Multimodal Model Diffing for Feature Discovery and Control,hugging_face,https://huggingface.co/papers/2608.09928,,,,reported
Generation as Auxiliary Supervision: Enhancing Visual Understanding at Zero Inference Overhead via Decoupled Embedding Prediction,Generation as Auxiliary Supervision: Enhancing Visual Understanding at Zero Inference Overhead via Decoupled Embedding Prediction,hugging_face,https://huggingface.co/papers/2608.12209,,,,reported
Scaling Domain Data Repetition in LLM Pretraining,Scaling Domain Data Repetition in LLM Pretraining,hugging_face,https://huggingface.co/papers/2608.14071,,,,reported
"Can We Defend Against AI-Generated Video Attacks on Real-World Crisis Events? A Systematic Evaluation of Detectors, Generators and Social Dissemination","Can We Defend Against AI-Generated Video Attacks on Real-World Crisis Events? A Systematic Evaluation of Detectors, Generators and Social Dissemination",hugging_face,https://huggingface.co/papers/2608.14391,,,,reported
Claim-Level Reliability Assessment for Efficient Test-Time Reasoning,Claim-Level Reliability Assessment for Efficient Test-Time Reasoning,hugging_face,https://huggingface.co/papers/2608.11994,,,,reported
Mitigating Gender Bias in English to Romanian Machine Translation,Mitigating Gender Bias in English to Romanian Machine Translation,hugging_face,https://huggingface.co/papers/2608.08606,,,,reported
ClawGym II: Exploring Black-Box RL on Agent Harness,ClawGym II: Exploring Black-Box RL on Agent Harness,hugging_face,https://huggingface.co/papers/2608.16798,,,,reported
Beyond Final Scores: A Systematic Evaluation of Agents for Long-Horizon AI Research and Development,Beyond Final Scores: A Systematic Evaluation of Agents for Long-Horizon AI Research and Development,hugging_face,https://huggingface.co/papers/2608.13417,,,,reported
Intern-S2-Mobius: Foundation Model with Decoupled Knowledge and Reasoning,Intern-S2-Mobius: Foundation Model with Decoupled Knowledge and Reasoning,hugging_face,https://huggingface.co/papers/2608.14290,,,,reported
An AI4AI Framework for Visual Token Pruning,An AI4AI Framework for Visual Token Pruning,hugging_face,https://huggingface.co/papers/2608.07193,,,,reported
SKILLER: Language-Level Reinforcement Learning for Reusable Skill Extraction in Small Language Models,SKILLER: Language-Level Reinforcement Learning for Reusable Skill Extraction in Small Language Models,hugging_face,https://huggingface.co/papers/2608.10538,,,,reported
UniSwap: Streaming Audio-Visual Identity Swapping for Talking Videos,UniSwap: Streaming Audio-Visual Identity Swapping for Talking Videos,hugging_face,https://huggingface.co/papers/2608.11752,,,,reported
"LLMRouter: Unified Infrastructure for Developing, Evaluating, and Deploying LLM Routers","LLMRouter: Unified Infrastructure for Developing, Evaluating, and Deploying LLM Routers",hugging_face,https://huggingface.co/papers/2608.06867,,,,reported
Spatial Memory Agent: Experience-Grounded Procedure Memory for Spatial Intelligence,Spatial Memory Agent: Experience-Grounded Procedure Memory for Spatial Intelligence,hugging_face,https://huggingface.co/papers/2608.12743,,,,reported
