entity_type,entity_id,flag_type,severity,field_name,message,detected_at,resolved_at,resolution
model,HappyPony/llm-experiences-blog,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,almereyda/ep_allmende,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,kellmins/kellminsreview,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,SondagePro-LimeSurvey-plugin/logAllMail,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,alexandcote/logAllMail,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,SxncR0OR/tellme,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,klafyvel/SmallMusicPlayer,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,joadyimel/hermes-voice-ai,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,a.adach/llm-cost-calculator,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,doering-ai/apps/model,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,gitlab-oss-package-research/tools/libbehave/3.2.0/pypi/sp/spacy-llm-d54f8ac6,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,rachel.green.r/ecoscan-76925665-deletion_scheduled-85432509,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,am_shork/llm-wiki,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,ameobius-ai/captcha-hub,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,mdzaheerjk/End-to-End-Medical-Chatbot-deletion_scheduled-85232753,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,mdzaheerjk/AI-Travel-Planner-deletion_scheduled-85232832,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,gitlab-oss-package-research/tools/libbehave/3.2.0/pypi/vl/vllm-76d8023b,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,fabio3rs/bibliothecapatristica,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,thejollydev/bezaforge-infrastructure,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
model,snopek-games/godai,unverified,medium,evidence_status,Discovery is not verified; keep outside official verified aggregates.,2026-08-15T23:04:48.254772+00:00,,
