/ods-whisper | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
/ods-langfuse-postgres | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
/ods-remote-provider-egress | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
/ods-langfuse-redis | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
/ods-model-router | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
/ods-ape | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
/ods-webui | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
/ods-qdrant | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
/ods-searxng | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
/ods-langfuse-clickhouse | project=ods | workdir=/home/roberto/ods | config=/home/roberto/ods/docker-compose.base.yml,/home/roberto/ods/docker-compose.cpu.yml,/home/roberto/ods/extensions/services/ape/compose.yaml,/home/roberto/ods/extensions/services/embeddings/compose.yaml,/home/roberto/ods/extensions/services/hermes/compose.yaml,/home/roberto/ods/extensions/services/hermes-proxy/compose.yaml,/home/roberto/ods/extensions/services/langfuse/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.yaml,/home/roberto/ods/extensions/services/litellm/compose.local.yaml,/home/roberto/ods/extensions/services/n8n/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.yaml,/home/roberto/ods/extensions/services/perplexica/compose.local.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.yaml,/home/roberto/ods/extensions/services/privacy-shield/compose.local.yaml,/home/roberto/ods/extensions/services/qdrant/compose.yaml,/home/roberto/ods/extensions/services/searxng/compose.yaml,/home/roberto/ods/extensions/services/token-spy/compose.yaml,/home/roberto/ods/extensions/services/tts/compose.yaml,/home/roberto/ods/extensions/services/whisper/compose.yaml
